,region_name,municipality_name,installation_name,installation_code,latitude,longitude,process_name,process_code
239,Bas-Saint-Laurent,Mont-Joli,Station de purification Mont-Joli,X0009742,48.583875,-68.183899,Filtration,FIL
240,Bas-Saint-Laurent,Mont-Joli,Station de purification Mont-Joli,X0009742,48.583875,-68.183899,Ultraviolet,UB
241,Montérégie,Cowansville,Station de purification Cowansville (autre traitement),X0008328,45.207445,-72.7480524,Chloration,CHL
242,Montérégie,Cowansville,Station de purification Cowansville (autre traitement),X0008328,45.207445,-72.7480524,Filtration,FIL
243,Montérégie,Cowansville,Station de purification Cowansville (autre traitement),X0008328,45.207445,-72.7480524,Charbon,CHB
244,Montérégie,Vaudreuil-Dorion,Station de purification Vaudreuil-Dorion (Vaudreuil-Dorion - station purif.),X0010764,45.3971509,-74.0254577,Chloration,CHL
245,Montérégie,Vaudreuil-Dorion,Station de purification Vaudreuil-Dorion (Vaudreuil-Dorion - station purif.),X0010764,45.3971509,-74.0254577,Filtration,FIL
246,Montérégie,Vaudreuil-Dorion,Station de purification Vaudreuil-Dorion (Vaudreuil-Dorion - station purif.),X0010764,45.3971509,-74.0254577,Ozonation,OZ
247,Abitibi-Témiscamingue,Laverlochère-Angliers,Angliers - Approvisionnement,X2114253,47.51358965,-79.1556191985192,Chloration,CHL
248,Laurentides,Sainte-Agathe-des-Monts,Station de purification - Ste-Agathe-des-Monts (Petit Lac des Sables),X0008112,46.046072,-74.279938,Chloration,CHL
249,Laurentides,Sainte-Agathe-des-Monts,Station de purification - Ste-Agathe-des-Monts (Petit Lac des Sables),X0008112,46.046072,-74.279938,Filtration,FIL
250,Laurentides,Sainte-Agathe-des-Monts,Station de purification - Ste-Agathe-des-Monts (Petit Lac des Sables),X0008112,46.046072,-74.279938,Charbon,CHB
251,Laurentides,Saint-Jérôme,Station de purification - St-Jérôme (sta. pur.),X0008102,45.775426,-74.013176,Chloration,CHL
252,Laurentides,Saint-Jérôme,Station de purification - St-Jérôme (sta. pur.),X0008102,45.775426,-74.013176,Filtration,FIL
253,Laurentides,Saint-Jérôme,Station de purification - St-Jérôme (sta. pur.),X0008102,45.775426,-74.013176,Ultraviolet,UB
254,Laval,Laval,Usine de filtration Pont-Viau (eau potable),X1300277,45.60558895,-73.7344173056906,Chloration,CHL
255,Laval,Laval,Usine de filtration Pont-Viau (eau potable),X1300277,45.60558895,-73.7344173056906,Filtration,FIL
256,Laval,Laval,Usine de filtration Pont-Viau (eau potable),X1300277,45.60558895,-73.7344173056906,Ozonation,OZ
257,Montérégie,Saint-Damase,Station de purification Municipalité de Saint-Damase (Montérégie),X0008846,45.526795,-73.008614,Chloration,CHL
258,Montérégie,Saint-Damase,Station de purification Municipalité de Saint-Damase (Montérégie),X0008846,45.526795,-73.008614,Filtration,FIL
259,Montérégie,Saint-Damase,Station de purification Municipalité de Saint-Damase (Montérégie),X0008846,45.526795,-73.008614,Charbon,CHB
260,Montérégie,Saint-Hyacinthe,Station de purification Ville de Saint-Hyacinthe,X0010032,45.627484,-72.940636,Chloration,CHL
261,Montérégie,Saint-Hyacinthe,Station de purification Ville de Saint-Hyacinthe,X0010032,45.627484,-72.940636,Filtration,FIL
262,Montérégie,Saint-Hyacinthe,Station de purification Ville de Saint-Hyacinthe,X0010032,45.627484,-72.940636,Ozonation,OZ
263,Montérégie,Saint-Hyacinthe,Station de purification Ville de Saint-Hyacinthe,X0010032,45.627484,-72.940636,Charbon,CHB
